Country,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
Kuwait,20,17,331,186,6.04%,9.14%,7.51,7.04
Mozambique,20,6,145,61,13.79%,9.84%,6.76,6.25
Afghanistan,20,8,124,76,16.13%,10.53%,6.06,9.32
Jamaica,19,7,214,84,8.88%,8.33%,7.21,8.71
Norway,18,8,551,380,3.27%,2.11%,9.44,12.12
Lithuania,18,16,501,343,3.59%,4.66%,7.87,9.93
Bhutan,18,10,128,101,14.06%,9.9%,5.9,5.75
Denmark,17,15,878,634,1.94%,2.37%,11.07,21.76
Lebanon,17,23,255,214,6.67%,10.75%,6.58,6.85
Zambia,17,14,195,155,8.72%,9.03%,5.74,5.99
Latvia,16,11,332,170,4.82%,6.47%,8.17,11.52
Armenia,16,9,264,175,6.06%,5.14%,6.94,10.19
Cyprus,15,5,231,140,6.49%,3.57%,8.51,8.64
Trinidad & Tobago,15,8,219,110,6.85%,7.27%,7.05,8.66
Croatia,14,12,491,273,2.85%,4.4%,6.86,9.92
Cuba,14,5,66,39,21.21%,12.82%,5.55,8
Iran,13,38,213,395,6.1%,9.62%,7.47,6.91
Bosnia & Herzegovina,13,10,201,113,6.47%,8.85%,6.68,8.65
Uruguay,12,9,423,220,2.84%,4.09%,7.07,7.85
Moldova,12,6,251,123,4.78%,4.88%,6.98,7.88
Nicaragua,12,7,144,116,8.33%,6.03%,7.92,10.39
Palestine,12,8,142,79,8.45%,10.13%,7.49,7.42
Macedonia,11,6,263,104,4.18%,5.77%,7.72,8.02
Slovenia,11,5,259,176,4.25%,2.84%,8.13,11.82
Cameroon,11,6,117,67,9.4%,8.96%,5.65,7.09
Yemen,11,5,72,45,15.28%,11.11%,7.04,7.42
Georgia,10,22,399,249,2.51%,8.84%,7.27,7.71
Mongolia,10,9,182,74,5.49%,12.16%,7.14,9.24
Mauritius,10,7,145,76,6.9%,9.21%,7.14,8.25
Syria,10,5,93,52,10.75%,9.62%,6.16,7.52
Estonia,9,3,260,162,3.46%,1.85%,7.62,9.81
Puerto Rico,9,1,184,109,4.89%,0.92%,6.87,7.25
Malawi,9,3,93,37,9.68%,8.11%,7.18,8.16
Angola,9,7,93,133,9.68%,5.26%,7.94,20.03
Swaziland,9,2,47,17,19.15%,11.76%,5.64,7.94
Namibia,8,5,121,94,6.61%,5.32%,7.81,8.86
Côte d’Ivoire,8,3,74,55,10.81%,5.45%,8.11,15.49
Fiji,8,4,67,50,11.94%,8%,5.31,6.2
Belarus,7,7,226,163,3.1%,4.29%,8.07,6.47
Brunei,7,7,118,105,5.93%,6.67%,7.3,10.22
Senegal,7,4,85,50,8.24%,8%,7.6,8.78
Malta,6,7,224,139,2.68%,5.04%,7.25,10.01
Luxembourg,6,1,152,59,3.95%,1.69%,6.31,10.39
Libya,6,7,86,47,6.98%,14.89%,9.37,8.49
Benin,6,1,46,10,13.04%,10%,8.74,5.1
Guyana,5,1,88,19,5.68%,5.26%,7.28,16.63
Botswana,5,4,81,75,6.17%,5.33%,6.58,12.61
Maldives,5,7,76,57,6.58%,12.28%,6.64,6.42
Congo - Kinshasa,5,4,64,49,7.81%,8.16%,6.77,5.57
Djibouti,5,0,19,1,26.32%,0%,6.84,9
Somalia,4,8,51,45,7.84%,17.78%,6.22,5.58
Belize,4,2,48,25,8.33%,8%,7.88,12.76
Sudan,4,3,32,37,12.5%,8.11%,5.38,6.97
Mali,4,1,17,7,23.53%,14.29%,6.53,10.29
Papua New Guinea,3,5,77,44,3.9%,11.36%,6.88,6.75
Kosovo,3,3,73,47,4.11%,6.38%,6.97,8.11
Madagascar,3,0,71,42,4.23%,0%,7.32,10.62
Macau,3,0,35,14,8.57%,0%,6.23,7.21
Burundi,3,0,16,6,18.75%,0%,5.69,14
Solomon Islands,3,0,12,6,25%,0%,4.92,4.17
Bahamas,2,3,37,34,5.41%,8.82%,8.41,13.53
Western Sahara,2,0,36,16,5.56%,0%,5.67,7.31
Barbados,2,2,36,13,5.56%,15.38%,7.06,6.38
Togo,2,0,31,16,6.45%,0%,7.06,6.75
Sierra Leone,2,1,25,24,8%,4.17%,7.56,5.33
Liberia,2,1,24,16,8.33%,6.25%,5.58,6.38
Turkmenistan,2,2,19,9,10.53%,22.22%,7.63,4
South Sudan,2,1,18,18,11.11%,5.56%,6.67,7.5
Congo - Brazzaville,2,2,8,10,25%,20%,6.62,8.2
Iceland,1,0,92,26,1.09%,0%,7.28,8.54
Kyrgyzstan,1,1,83,33,1.2%,3.03%,9.29,12.09
Montenegro,1,0,53,40,1.89%,0%,10.51,6.72
Haiti,1,3,27,11,3.7%,27.27%,10.85,10.36
Lesotho,1,2,22,13,4.55%,15.38%,5.36,7.08
Laos,1,2,22,25,4.55%,8%,6.41,6.32
Tajikistan,1,2,21,10,4.76%,20%,6.33,8.5
Suriname,1,2,19,16,5.26%,12.5%,5.89,5.5
Cayman Islands,1,0,19,9,5.26%,0%,7.37,9
Burkina Faso,1,1,15,15,6.67%,6.67%,13.87,13.73
Mauritania,1,0,14,2,7.14%,0%,6.14,4.5
Antigua & Barbuda,1,0,12,5,8.33%,0%,5.5,8.2
Grenada,1,1,10,6,10%,16.67%,10,5.83
Seychelles,1,0,8,13,12.5%,0%,5.75,6.31
Kiribati,1,0,6,2,16.67%,0%,5.67,13
Central African Republic,1,0,3,2,33.33%,0%,7,4
Guernsey,1,0,2,5,50%,0%,2,10.6
Montserrat,1,0,1,0,100%,0%,1,0
Unknown Region,0,0,49,82,0%,0%,7.06,4.7
Timor-Leste,0,1,35,7,0%,14.29%,7.66,9
St. Lucia,0,0,21,4,0%,0%,6.33,5.5
Gambia,0,0,18,8,0%,0%,6.72,5.62
Curaçao,0,1,17,4,0%,25%,7.47,7.5
Andorra,0,0,16,3,0%,0%,7.25,4.67
Chad,0,0,14,1,0%,0%,6.43,12
Isle of Man,0,3,14,21,0%,14.29%,6.64,10.76
Cape Verde,0,0,10,4,0%,0%,8.2,30.5
Guinea,0,2,10,13,0%,15.38%,8.7,7.54
Aruba,0,0,9,3,0%,0%,4.11,8.67
Guam,0,0,9,7,0%,0%,7.22,15.29
U.S. Virgin Islands,0,0,9,4,0%,0%,7.89,5
St. Vincent & Grenadines,0,1,9,6,0%,16.67%,9.33,6.67
Samoa,0,0,9,1,0%,0%,13.22,1
Bermuda,0,0,7,4,0%,0%,6.14,7.5
Northern Mariana Islands,0,0,7,2,0%,0%,6.29,3
Gabon,0,0,7,4,0%,0%,7.57,16.25
Jersey,0,0,6,2,0%,0%,7.33,2.5
Niger,0,0,5,7,0%,0%,6.8,7.71
Guadeloupe,0,0,5,1,0%,0%,9.4,8
Martinique,0,0,5,0,0%,0%,9.6,0
Greenland,0,0,5,0,0%,0%,11,0
Vanuatu,0,1,4,9,0%,11.11%,5.75,8.33
Sint Maarten,0,0,4,2,0%,0%,6.25,14
Réunion,0,0,4,10,0%,0%,7,8.1
Gibraltar,0,0,4,5,0%,0%,8,7.6
French Polynesia,0,0,4,7,0%,0%,8,6.14
Palau,0,0,3,0,0%,0%,3.67,0
Dominica,0,0,3,4,0%,0%,4,7.5
St. Kitts & Nevis,0,0,3,0,0%,0%,8.67,0
Tonga,0,0,3,4,0%,0%,15,6.75
American Samoa,0,0,2,1,0%,0%,3.5,10
Cook Islands,0,0,2,0,0%,0%,3.5,0
Caribbean Netherlands,0,0,2,0,0%,0%,4,0
Guinea-Bissau,0,0,2,0,0%,0%,4.5,0
Equatorial Guinea,0,0,2,4,0%,0%,5,5.25
San Marino,0,0,2,2,0%,0%,6,5
Micronesia,0,0,2,1,0%,0%,6.5,16
Liechtenstein,0,0,2,5,0%,0%,9,6.2
Comoros,0,0,1,2,0%,0%,2,2
North Korea,0,0,1,0,0%,0%,3,0
Turks & Caicos Islands,0,0,1,3,0%,0%,4,6.67
Anguilla,0,0,1,1,0%,0%,5,3
St. Martin,0,0,1,0,0%,0%,5,0
Åland Islands,0,0,1,2,0%,0%,9,7
Antarctica,0,0,1,0,0%,0%,10,0
New Caledonia,0,1,1,7,0%,14.29%,10,10.14
St. Helena,0,0,1,0,0%,0%,11,0
Monaco,0,0,0,11,0%,0%,0,37
British Virgin Islands,0,0,0,7,0%,0%,0,8
Mayotte,0,0,0,1,0%,0%,0,59
